,gender,n_credits
1043,Male,4
1044,Male,0
1045,Female,0
1046,Male,126
1047,Male,133
1048,Female,107
1049,Male,57
1050,Male,75
1051,Female,80
1052,Male,17
1053,Male,53
1054,Male,99
1055,Male,14
1056,Not Specified,4
1057,Male,66
1058,Male,117
1059,Not Specified,1
1060,Male,103
1061,Male,64
1062,Female,92
1063,Female,60
1064,Male,37
1065,Male,167
1066,Female,53
1067,Male,37
1068,Male,1
1069,Female,0
1070,Male,0
1071,Male,5
1072,Male,6
1073,Not Specified,0
1074,Not Specified,1
1075,Male,4
1076,Male,29
1077,Not Specified,0
1078,Male,1
1079,Female,0
1080,Male,8
1081,Male,3
1082,Female,2
1083,Female,1
1084,Male,1
1085,Male,92
1086,Male,51
1087,Male,98
1088,Male,52
1089,Male,31
1090,Male,28
1091,Male,74
1092,Female,84
1093,Male,19
1094,Not Specified,6
1095,Not Specified,6
1096,Male,45
1097,Male,29
1098,Male,41
1099,Female,107
1100,Male,54
1101,Female,24
1102,Female,3
1103,Male,7
1104,Male,7
1105,Male,78
1106,Female,59
1107,Female,83
1108,Male,41
1109,Male,0
1110,Male,22
1111,Male,0
1112,Male,7
1113,Male,3
1114,Male,1
1115,Female,0
1116,Male,1
1117,Female,4
1118,Male,0
1119,Male,5
1120,Male,5
1121,Male,7
1122,Male,1
1123,Male,6
1124,Male,2
1125,Male,1
1126,Not Specified,0
1127,Male,0
1128,Not Specified,0
1129,Male,0
1130,Male,7
1131,Male,4
1132,Female,3
1133,Male,12
1134,Female,1
1135,Male,0
1136,Female,5
1137,Male,121
1138,Male,120
1139,Male,38
1140,Male,33
1141,Male,89
1142,Male,11
1143,Male,73
1144,Male,22
1145,Not Specified,0
1146,Male,63
1147,Male,100
1148,Female,93
1149,Female,47
1150,Male,21
1151,Male,85
1152,Male,7
1153,Male,4
1154,Male,3
1155,Male,1
1156,Not Specified,0
1157,Male,0
1158,Not Specified,0
1159,Female,67
1160,Male,0
1161,Male,153
1162,Not Specified,0
1163,Female,6
1164,Not Specified,0
1165,Male,38
1166,Male,28
1167,Not Specified,0
1168,Male,3
1169,Female,0
1170,Not Specified,0
1171,Not Specified,0
1172,Not Specified,0
1173,Male,13
1174,Male,28
1175,Male,28
1176,Male,88
1177,Male,138
1178,Male,63
1179,Male,39
1180,Male,3
1181,Female,2
1182,Male,0
1183,Not Specified,1
1184,Not Specified,3
1185,Female,0
1186,Not Specified,0
1187,Male,26
1188,Male,6
1189,Male,4
1190,Female,55
1191,Female,29
1192,Male,38
1193,Male,60
1194,Male,3
1195,Not Specified,1
1196,Male,0
1197,Male,8
1198,Not Specified,2
1199,Male,36
1200,Not Specified,0
1201,Not Specified,0
1202,Male,1
1203,Male,0
1204,Male,1
1205,Female,0
1206,Male,55
1207,Female,28
1208,Male,56
1209,Male,59
1210,Male,4
1211,Female,1
1212,Female,0
1213,Male,22
1214,Male,11
1215,Male,4
1216,Not Specified,0
1217,Not Specified,1
1218,Not Specified,0
1219,Not Specified,0
1220,Female,0
1221,Not Specified,0
1222,Male,158
1223,Male,89
1224,Male,139
1225,Male,56
1226,Male,15
1227,Not Specified,9
1228,Male,8
1229,Male,4
1230,Not Specified,1
1231,Not Specified,9
1232,Not Specified,3
1233,Not Specified,1
1234,Not Specified,5
1235,Male,63
1236,Not Specified,8
1237,Not Specified,1
1238,Male,9
1239,Male,6
1240,Not Specified,1
1241,Male,9
1242,Male,8
1243,Not Specified,9
1244,Not Specified,4
1245,Not Specified,1
1246,Not Specified,1
1247,Not Specified,3
1248,Female,15
1249,Male,1
1250,Male,17
1251,Female,58
1252,Male,8
1253,Male,91
1254,Male,87
1255,Male,6
1256,Male,160
1257,Male,5
1258,Male,10
1259,Male,13
1260,Male,39
1261,Male,29
1262,Male,45
1263,Male,49
1264,Female,4
1265,Female,34
1266,Female,3
1267,Female,0
1268,Not Specified,1
1269,Male,40
1270,Male,1
1271,Male,34
1272,Male,8
1273,Male,16
1274,Female,2
1275,Male,100
1276,Not Specified,4
1277,Male,8
1278,Female,56
1279,Male,6
1280,Not Specified,1
1281,Male,28
1282,Not Specified,2
1283,Not Specified,0
1284,Male,6
1285,Male,8
1286,Male,0
1287,Male,0
1288,Male,0
1289,Male,0
1290,Male,2
1291,Male,0
1292,Female,49
1293,Female,23
1294,Male,95
1295,Male,74
1296,Male,13
1297,Female,4
1298,Female,47
1299,Female,2
1300,Female,2
1301,Male,3
1302,Non-Binary,1
1303,Female,31
1304,Not Specified,2
1305,Not Specified,1
1306,Male,3
1307,Male,1
1308,Male,34
1309,Male,1
1310,Male,3
1311,Male,8
1312,Male,2
1313,Male,3
1314,Male,0
1315,Male,0
1316,Male,130
1317,Female,71
1318,Male,36
1319,Male,66
1320,Female,12
1321,Female,26
1322,Male,30
1323,Male,78
1324,Female,15
1325,Female,2
1326,Male,59
1327,Male,1
1328,Male,1
1329,Not Specified,0
1330,Male,0
1331,Male,129
1332,Female,26
1333,Male,49
1334,Male,67
1335,Male,35
1336,Male,0
1337,Not Specified,0
1338,Not Specified,0
1339,Male,0
1340,Male,3
1341,Female,1
1342,Not Specified,0
1343,Female,37
1344,Male,40
1345,Female,43
1346,Not Specified,3
1347,Male,54
1348,Not Specified,4
1349,Female,10
1350,Female,38
1351,Male,6
1352,Not Specified,0
1353,Not Specified,1
1354,Not Specified,0
1355,Not Specified,0
1356,Not Specified,0
1357,Male,4
1358,Male,40
1359,Female,54
1360,Female,25
1361,Female,36
1362,Male,97
1363,Male,21
1364,Male,1
1365,Female,10
1366,Male,0
1367,Male,1
1368,Female,1
1369,Male,0
1370,Male,4
1371,Not Specified,0
1372,Male,0
1373,Male,0
1374,Female,0
1375,Not Specified,0
1376,Male,0
1377,Male,23
1378,Female,4
1379,Male,42
1380,Male,70
1381,Male,44
1382,Male,36
1383,Male,10
1384,Male,29
1385,Male,3
1386,Not Specified,1
1387,Male,43
1388,Male,16
1389,Male,19
1390,Male,0
1391,Male,8
1392,Male,0
1393,Male,114
1394,Female,84
1395,Male,46
1396,Male,23
1397,Female,89
1398,Male,4
1399,Male,3
1400,Female,1
1401,Male,1
1402,Female,2
1403,Not Specified,0
1404,Male,10
1405,Male,3
1406,Male,1
1407,Male,1
1408,Male,0
1409,Not Specified,1
1410,Male,1
1411,Female,61
1412,Male,140
1413,Female,31
1414,Male,73
1415,Male,36
1416,Male,10
1417,Female,33
1418,Male,220
1419,Male,17
1420,Male,18
1421,Not Specified,2
1422,Male,57
1423,Male,68
1424,Not Specified,0
1425,Male,105
1426,Female,47
1427,Male,65
1428,Male,46
1429,Male,0
1430,Male,20
1431,Male,3
1432,Male,6
1433,Female,24
1434,Male,24
1435,Female,1
1436,Not Specified,0
1437,Male,103
1438,Female,62
1439,Male,10
1440,Male,4
1441,Male,13
1442,Male,48
1443,Male,59
1444,Male,11
1445,Female,0
1446,Male,0
1447,Male,35
1448,Male,44
1449,Female,79
1450,Male,126
1451,Male,44
1452,Male,25
1453,Female,28
1454,Male,4
1455,Male,76
1456,Not Specified,2
1457,Not Specified,3
1458,Not Specified,1
1459,Not Specified,0
1460,Male,0
1461,Male,0
1462,Male,33
1463,Not Specified,0
1464,Male,1
1465,Not Specified,1
1466,Male,0
1467,Male,0
1468,Not Specified,0
1469,Male,0
1470,Not Specified,0
1471,Not Specified,0
1472,Male,6
1473,Male,2
1474,Male,2
1475,Male,2
1476,Male,1
1477,Male,42
1478,Male,39
1479,Male,38
1480,Male,8
1481,Male,5
1482,Male,24
1483,Male,27
1484,Male,9
1485,Male,40
1486,Male,0
1487,Not Specified,0
1488,Female,1
1489,Male,0
1490,Male,0
1491,Male,15
1492,Male,2
1493,Male,2
1494,Male,9
1495,Male,0
1496,Male,7
1497,Female,0
1498,Male,1
1499,Male,0
1500,Male,97
1501,Female,49
1502,Male,40
1503,Male,105
1504,Male,49
1505,Male,42
1506,Female,8
1507,Female,13
1508,Female,11
1509,Female,55
1510,Male,21
1511,Male,9
1512,Male,4
1513,Male,1
1514,Male,183
1515,Male,98
1516,Male,42
1517,Male,33
1518,Male,98
1519,Female,52
1520,Male,44
1521,Female,33
1522,Male,41
1523,Female,14
1524,Male,0
1525,Female,14
1526,Male,9
1527,Male,3
1528,Male,2
1529,Male,0
1530,Male,3
1531,Male,1
1532,Male,3
1533,Female,40
1534,Female,2
1535,Male,63
1536,Female,41
1537,Not Specified,1
1538,Not Specified,1
1539,Not Specified,1
1540,Male,89
1541,Male,1
1542,Not Specified,4
1543,Not Specified,1
1544,Male,4
1545,Female,1
1546,Male,5
1547,Female,0
1548,Male,1
1549,Female,33
1550,Female,1
1551,Male,12
1552,Male,1
1553,Male,2
1554,Male,3
1555,Male,84
1556,Female,37
1557,Male,15
1558,Female,52
1559,Not Specified,0
1560,Male,1
1561,Male,1
1562,Male,1
1563,Male,0
1564,Male,1
1565,Female,0
1566,Male,0
1567,Female,1
1568,Female,0
1569,Male,1
1570,Female,1
1571,Male,1
1572,Male,29
1573,Male,100
1574,Female,52
1575,Female,78
1576,Male,8
1577,Female,13
1578,Male,13
1579,Female,37
1580,Male,69
1581,Female,15
1582,Male,18
1583,Male,48
1584,Male,0
1585,Male,0
1586,Male,0
1587,Male,0
1588,Female,0
1589,Not Specified,0
1590,Not Specified,0
1591,Male,11
1592,Not Specified,1
1593,Male,8
1594,Not Specified,2
1595,Male,30
1596,Female,59
1597,Not Specified,1
1598,Female,33
1599,Female,14
1600,Male,0
1601,Female,9
1602,Male,8
1603,Female,3
1604,Not Specified,1
1605,Male,1
1606,Male,84
1607,Male,0
1608,Male,112
1609,Not Specified,2
1610,Not Specified,2
1611,Not Specified,0
1612,Male,0
1613,Male,0
1614,Male,57
1615,Male,36
1616,Male,55
1617,Male,52
1618,Male,93
1619,Female,83
1620,Female,69
1621,Male,130
1622,Male,47
1623,Male,21
1624,Male,36
1625,Female,15
1626,Male,76
1627,Female,56
1628,Male,10
1629,Male,4
1630,Male,4
1631,Male,0
1632,Not Specified,0
1633,Male,0
1634,Female,91
1635,Male,51
1636,Male,57
1637,Male,5
1638,Male,1
1639,Not Specified,1
1640,Not Specified,1
1641,Male,50
1642,Male,38
1643,Male,23
1644,Male,5
1645,Male,4
1646,Not Specified,0
1647,Male,13
1648,Male,2
1649,Male,3
1650,Male,2
1651,Male,113
1652,Male,51
1653,Male,37
1654,Male,86
1655,Male,81
1656,Male,38
1657,Male,28
1658,Female,5
1659,Male,4
1660,Female,1
1661,Female,54
1662,Male,97
1663,Male,65
1664,Male,167
1665,Male,33
1666,Female,72
1667,Male,7
1668,Female,53
1669,Female,72
1670,Male,43
1671,Female,44
1672,Female,23
1673,Female,4
1674,Male,17
1675,Male,44
1676,Female,0
1677,Male,1
1678,Male,2
1679,Female,71
1680,Male,0
1681,Female,41
1682,Male,92
1683,Male,64
1684,Male,100
1685,Non-Binary,90
1686,Male,25
1687,Male,0
1688,Male,2
1689,Male,15
1690,Male,1
1691,Female,58
1692,Male,48
1693,Female,59
1694,Male,56
1695,Male,105
1696,Male,287
1697,Male,8
1698,Male,0
1699,Male,0
1700,Male,0
1701,Male,33
1702,Male,38
1703,Male,40
1704,Female,1
1705,Female,17
1706,Male,56
1707,Male,17
1708,Female,45
1709,Female,47
1710,Male,24
1711,Male,36
1712,Male,141
1713,Female,15
1714,Female,43
1715,Female,60
1716,Male,130
1717,Female,60
1718,Male,7
1719,Male,8
1720,Male,0
1721,Female,8
1722,Male,0
1723,Male,7
1724,Male,0
1725,Male,0
1726,Female,0
1727,Female,75
1728,Female,8
1729,Female,72
1730,Male,60
1731,Male,29
1732,Male,7
1733,Male,109
1734,Male,1
1735,Male,90
1736,Female,36
1737,Female,110
1738,Male,44
1739,Male,38
1740,Female,33
1741,Male,19
1742,Male,43
1743,Female,3
1744,Female,1
1745,Female,50
1746,Male,33
1747,Not Specified,1
1748,Female,1
1749,Male,2
1750,Male,3
1751,Not Specified,0
1752,Male,0
1753,Male,0
1754,Male,0
1755,Male,3
1756,Male,1
